ko	en
나는 내일 영화를 반납할 것입니다.	I'm going to return the movie tomorrow.
무슨 근거로 그런 말을 하는 건가요?	What made you think so? 
귀사가 요청한 다음 세 가지 자료를 첨부했습니다.	I attached three materials that your company requested.
결국 다음 시험을 보고 A반에서 맨 앞에 앉을 수 있었지.	After all, I could sit in the first row of class A after taking the next exam.
당신이 좋아할지 싫어할지 모르겠어요.	I don't know whether you will like it or not.
대부분의 일본 여자들은 어려 보여요.	Japanese women usually look younger.
이 영화는 한국의 소중한 땅인 독도를 주제로 했어요.	This movie is about Dokdo, a precious territory of South Korea.
나는 대학 생활을 동안 동아리 활동을 했어요.	I had been an active member of a college club.
항상 열심히 하는 Red Velvet이 되겠습니다.	We, Red Velvet will always do our best.
오랜만에 전화해 줘서 너무 반가워요.	It's such a pleasure to get your call after a long time.
한국인 형 한 명과 같이 살고 있어.	I am living with a Korean bro.
그는 1988년생 아르헨티나 사람이에요.	He is Argentine and was born in 1988.
오늘은 화려한 금발을 한 여자 연예인들을 모아봤어요!	Today, we've gathered female celebrities with glamorous blonde hair!
안타깝지만 그건 제 분야가 아니네요.	I'm afraid it's not my field.
싱가포르의 국가 번호는 어떻게 되나요?	What's the country code for Singapore?
네가 사진 찍은 거 나한테 보여줘.	Send me the picture that you've taken.
저는 학교 끝나고 낮잠 잤어요.	I took a nap after school.
닉이 파티에 간다면 저도 갈 거예요.	I'll go to the party if Nick goes.
나는 항공계의 북두칠성이 되고 싶은 예비 항공 경영 사람이다.	I am a future aviation manager who wants to be the Big Dipper of the flight department.
나는 지난 축제를 생생하게 기억해요.	I clearly remember the last festival.
지난해에는 솔로의 생활을 하였지만요.	Though I was single last year.
내가 이런 큰 행운을 받아도 되는지 모르겠어요.	I wonder if I could take this gorgeous luck.
당신이 주문한 리스팅의 상세이미지를 확인해 보시기 바랍니다.	Please take a look at detailed images of the listing you ordered.
우리가 필요한 최대 크기가 얼마니?	What is the maximum size that we need?
나는 그가 취직할 걸 알고 있었어요.	I knew that he would get his job.
그 단체가 위치한 도시는 뉴욕이에요.	New York is the city where that organization is located.
규칙적인 평행선이 두 개 이상 교차할 때 생깁니다.	This arises when more than two regular parallels cross each other.
저는 보통 책을 가죽 표지로 쌉니다.	I usually cover my books with leather.
우리는 예약한 정보를 듣고 확인해 보아야 해요.	We have to listen and check the reservation information.
펌프를 23회 눌러 내용물을  적당량 손바닥에 덜어내요.	Pump this stuff accordingly, around 23 times on your hand.
만약을 대비해서 미리 영어공부를 해놓는 것도 좋은 생각이야.	It's also good to be prepared for any situation and study English in advance.
당신이 날 위해 노력했다는 거예요.	It means that you have tried for me.
룸바에 도착하면 알려주실 수 있나요?	Can you let me know when you get to the room bar?
나는 네가 편안하게 공부하길 바라.	I want you to feel free to study.
고소공포증 때문에 힘들 때 고소 공포증을 이겨낼 수 있게 뛰어내리고 싶다.	Whever my fear of heights kicks in, I want to try jumping off tall heights to simply overcome it.
 그것의 높이는 90cm이에요.	And its height is 90cm.
나는 삼촌 집에 3일 동안 머물렀어요.	I stayed at my uncle's house for three days.
 아티쿠스 음악당에 가보고 싶어요.	I also want to visit the Articus music hall.
아기를 좋아해 결혼하면 셋 이상 꼭 낳고 싶어요.	Where is another guide who will lead us?
이메일 인증 완료 후 로그인됩니다.	You can log in after you confirm your email.
이 일로 인해 스트레스가 생겼어요.	I got stress due to it.
당신이 열심히 노력하는 만큼 신이 당신에게 축복을 줄 것입니다.	God will bless you as much as you work.
명절이기도 해서 예약을 취소했어요.	I canceled the reservation since it is a holiday.
전 지금 여행 중이라서 다음 주쯤 되어야 시드니에 올 것 같아요.	I won't be back in Sydney until next week because I am traveling at the moment.
그 남자가 정문으로 들어갈 것입니다.	He will enter the main gate.
이거 친한 친구 사이에 하는 말인데.	To say like that is for friendly relations.
친구의 여자친구는 중국어를 잘해요.	My friend's girlfriend speaks Chinese well.
저는 그 환자에게 응급치료했어요.	I gave first aid treatment to the patient.
그녀는 저에게 있어 소중한 존재예요.	She is the apple of my eye.
나의 친구의 이름은 ivory예요.	My friend's name is Ivory.
매일 일을 해야 돼 왜냐하면 돈을 벌어야 하기 때문이야.	I need to work every day because I need to make some money.
오늘은 금요일이고 내일은 주말이에요.	Today is Friday and tomorrow is the weekend.
내가 희망하는 직업은 현모양처입니다.	My dream is to be a good wife and wise mother.
점심시간만 할인 메뉴를 드실 수 있습니다.	You can have a discounted menu at lunchtime only. 
우린 주말 내내 연속으로 여행을 다녀왔어요.	We kept traveling on the weekend.
그전에 갔던 풀빌라로 예약할 수 없어?	Can't you make a reservation to the Pool-villa we've been before?
누군가 나한테 전화해 준다고 했어요.	Somebody said that he will call me.
태어날 때부터 갈비뼈가 기형이었어요.	He/she had malformed rib bone since birth.
대학교 때 호텔 경영에 관해서 공부한 경험이 있습니다.	I have experience studying hotel management at university.
보내 주신 회사의 현황에 대해 간단히 조사했습니다.	We did a brief inspection of the current position of the company.
이 메일은 국내외 공급망을 대상으로 발송되고 있어요.	This email is being sent to both domestic and foreign supply chains.
무슨 일을 하더라도 긍정적인 사고로 극복해냈습니다.	I overcame all my struggles with a positive mind, no matter what they were.
영화를 좋아하기 때문에 함께 보고 싶습니다.	Since I like movies, I want to watch it with you.
나는 우리 학교에서 하이킹 클럽에 가입했습니다.	I joined a hiking club at my school.
나와 함께 한국에서 살고 싶으면 당신은 한국 언어를 배우세요.	If you want to live with me in Korea, you have to learn Korean.
나하고 사랑하는 것을 상상하면서 오늘 하루 즐겁게 보내라.	Enjoy your day by imagining us loving each other.
이 메이크업은 작고 매끈한 얼음을 모티브로 하여 탄생하게 됐어요.	This makeup is based on minuscule, smooth ice.
우리가 사용했던 프린터기에 대해 알고 있습니까?	Do you know about the printer that we used?
저는 수원보훈요양원에서 매주 일요일마다 봉사활동을 했어요.	I partook in volunteer services at the Suwon veterans nursing home every Sunday.
a 회사와 b 회사가 나를 많이 도와줬어요.	A company and B company helped me a lot.
나는 전산 회계 자격을 가지고 있어요.	I have a qualification in computing accounts.
요즘 삶에 대한 진지한 생각을 할 필요가 있음을 많이 느껴요.	I feel like I need to have some serious thoughts about my life these days.
당신들은 한국에서 어떻게 영업을 하고 있는지 저는 알고 싶어요.	I'd like to know how you are managing your business in Korea.
나는 가장 친한 친구 5명이 있어요.	There are five closest friends of mine.
엄마를 배웅하기 위해서 공항에 갔어요.	I went to the airport to see my mom off.
저희는 바비큐를 위한 대형 그릴 2개를 무료로 대여해 주고 있습니다.	We lend you two big Barbecue grills for free.
그래서 별명이 붉은빛의 도시입니다.	So the nickname is the city of red light.
그 일을 이해하는 사람은 너를 사랑하는 것이 아니다.	Whoever understands that incident is not in love with you.
우리가 오픈하지 않았기 때문에 우리도 볼 수 없나요?	Can't we see because we didn't open?
이곳의 특별한 점은 불판에 계란을 구워 먹을 수 있다는 것입니다.	What's special about this place is that you can cook eggs on a grill.
약속을 안 지킨 태도는 용서가 안 돼요.	The attitude of breaking promise is unforgivable.
마지막으로 한글은 탄생기록을 가지는 유일한 문자입니다.	Finally, Hangeul is the only letter that has birth recording.
나는 오늘 하니의 말에 감동하였어요.	I was moved by Hany's saying.
이 아이는 학년 업을 목표로 열심히 공부하고 있습니다.	This child is studying hard, aiming to grade up.
또한 지금 한국 사업도 상태가 안 좋은 것 같아.	Moreover, business in Korea seems to be in bad shape right now.
당신이 구매했던 투톤 장갑 100쌍은 제공할 수 있습니다.	We can offer you 100 pairs of two-tone gloves that you've ordered.
당신이 좋아하는 것에 대해 적으세요.	Write about the things you like.
획기적인 상품이란 어떤 것들인가요?	What are examples of innovative products?
이 주변이 점점 위험해 지고 있어요.	This neighborhood is getting dangerous.
그것은 다양한 아이템을 통해 우리에게 감동을 줍니다.	It impresses us through various items.
어떤 치즈 케이크가 제일 유명한가요?	Which cheesecake is the most famous?
아니요, 아직도 11시 20분이에요.	No, It's still 11:20.
나는 봉사 차원에서 일하려고 해요.	I am going to work as a volunteer.
모발을 헹군 후 말리면 윤기 있고 향기 나는 머릿결이 완성됩니다.	Rinse and dry your hair and you get glossy and fragrant hair.
몇 시까지 저희가 집에 있어야 합니까?	By what time do we have to be home?
늦은 밤 비행과 환승으로 비행 내내 쓰러질 뻔했어요.	I nearly collapsed due to the late-night flights and transfers.
같이 온 일행들이 빨리 이동을 해야 해서 물어볼 시간도 없었네요.	I couldn't even have time to ask because my companies had to move quickly.
대부분의 북한 주민들은 굶어 죽어요.	Most North Korean people are famished to death.
네, 고기 추가는 3,500원이에요.	Extra meat costs 3,500 won.
나에게 친절하게 대해주셔서 고마웠어요.	I appreciate your kindness.
그래서 차분한 마음으로 일에 더 집중할 수 있어요.	So, I can concentrate more on my work with calm mind.
나는 현재 태국의 상황을 알고 싶다.	I want to know about the situation in Thailand now.
내가 계란 요리를 잘하기 때문입니다.	Because I'm good at cooking eggs.
그의 얘기엔 뭔가 수상한 게 있어요.	There's something suspicious about his story.
민에게 얘기해서 내가 한국말로 들을 수 있게 해 줘.	Can I add you too if you text me?
당신이 편리한 날짜를 알려주시면 맞춰 보도록 하겠습니다.	I will try to set my schedule to yours if you tell me the date you want.
우린 다음 학기 준비를 해야만 해요.	We should prepare for the next term.
우리의 소중한 하느님과의 관계를 위해 노력해 보자.	Let's try hard for our precious relationship with God.
그는 이토 히로부미를 암살한 뒤 학교를 설립해 인재양성에 힘썼어요.	After assassinating Ito Hirobumi, he devoted himself to creating a school and fostering human talent.
그럼 좋은 하루 보내시고 또 연락 나누기로 하겠습니다.	Then, have a nice day and let's talk again later.
그는 6시 몇 분 기차로 올 거예요.	He will come by train around 6.
제 이름은 아버지께서 지어주셨습니다.	My name was given by my father.
나는 회사 축제 때 사회자였어요.	I was an mc for the festival of the company.
요즘은 종일 당신 생각뿐입니다.	All I do is think of you.
나는 제일 큰 목표 두 가지가 있어요.	I have the biggest two goals.
그녀가 성장해 가는 과정인 것 같아.	It seems like the process of her growing up.
간섭이 발생해서 작업이 지연됐어요.	Operation has been delayed since an interference was caused.
일이 있어 참가하지 못해 미안해요.	I'm sorry that I couldn't participate because I had something else to do.
나라에서 정해진 검사 기관에 의뢰를 해야 합니다.	We need to request an inspection from an institution approved by the government.
성을 다시 한번 말씀해 주시겠습니까?	May I have your last name again?
엠블랙의 승호와 첫 게임을 해봤어.	I had the first game with Seungho of MBLAQ.
대학교에서 한국말을 더 빨리 배울 수 있습니다.	You can learn Korean more quickly in college.
당신과 이별하게 되어 매우 섭섭해요.	I am so sorry to leave you.
나는 오후 한 시에 친구 집으로 갔어요.	I went to my friend's house at 1 p.m.
당신은 가난한 남자를 사랑하는 여자를 본 적이 있습니까?	Have you seen a girl who loves a poor man?
어떻게 시작해야 하는지 벌써부터 머리에 쥐가 난다.	I could see the color of the bacteria through the microscope.
여행용 가방 지원 가능한가요?	Can the bag for the tour be provided?
채용되기만 한다면 가능한 한 오래 이 일을 하고 싶습니다.	If I am hired I want to work here as long as possible.
당신이 주문한 거 지금 우리가 가지고 있습니다.	Right now we have the one you ordered.
나와 결혼 하면 아래 집에서 생활하게 될 것입니다.	If you marry me, we will get to live on the lower floor.
이 메일 주소만 알고 있어서 여기로 문의드립니다.	I'm asking you via this email because it's the only one I know.
한국에 도착해서 바로 연락할 거지?	You will contact me right away after you arrive in Korea, won't you?
그래서 소심한 성격을 바꾸려고 노력하고 있습니다.	So I'm trying to change my timid personality.
우리 아빠 컴퓨터 한국어로 바꿔 줘.	Please change the language of my dad's computer into Korean.
너랑 더욱더 친해지지 못해서 아쉬워.	I'm sad that I couldn't get to know you more.
이 제품의 소비자 가격은 4달러예요.	The consumer price of this product is 4 dollars.
교환학생 생활 중 가장 중요한 것은 성실성이라고 생각해요.	I think sincerity is the most important virtue we need during high school.
습진이 여전히 낫지않아서 넥카라를 했더니 삐진모습이예요.	I had to put a buster collar on him because his eczema problem hasn't gone away, and he looks really grumpy because of that.
공부를 열심히 하는 학생을 격려해요.	I encourage students who study hard.
야마모토 씨, 질문을 드려도 될까요?	Mr.Yamamoto, can I ask you a question?
나의 연말 휴가가 엉망이 될 것 같아서 불안해요.	I'm on tenterhooks that my end-of-year vacation is in jeopardy.
그리고 나도 기회가 주어진다면 발명이라는 것을 한번 해보고 싶어요.	If given the opportunity, I'd also like to invent something.
월요일에는 회사 동료와 파스타를 함께 먹고 쇼핑을 했습니다.	I went shopping and ate pasta with my co-worker on Monday.
인터넷에서 화장품 추천받는 사람들은 조금 알 걸요?	People who find recommendations for cosmetics from the internet might know this brand slightly.
당신에게 급히 전해 줄 것이 있어요.	I have something urgent to give you.
나는 그가 학교를 옮기려고 한다는 말을 들었어.	I heard that he is going to move to school.
미션을 수행하기 위해서 역으로 갔어요.	I went to the station to accomplish the mission.
열심히 번역해서 Henry 트윗 번역왕이 되어보아요!	Let's translate hard and be the King of translation for Henry Tweet!
예쁘고 똑똑한 우리 딸 생일 축하해.	Happy birthday my pretty and smart daughter!
나는 잠시 후 할머니가 계신 곳에 가려고 해요.	I'm going to go where grandma is after a bit.
그들은 동물원에 적응했기 때문이에요.	It's because they got adapted to the zoo.
본인이 촬영한 커버 댄스 비디오를 우리 사이트에 등록해 주세요.	Please register the cover dance video that you've filmed on our website.
가능하다면 한국에 당신의 제품을 판매하고 싶습니다.	If it's possible, I would like to sell your products in Korea.
다리가 불편한 어른이 있으니 벽 쪽 자리로 주세요.	We are with a man whose legs are uncomfortable, so please give us seats near the wall.
한정된 부분에서 존재하는 종양이에요.	It's a tumor that exists in a limited area.
얼마 전 남북한을 가르고 있는 장소에 방문했어요.	Lately, I visited the site which separates North and South Korea.
단편 소설이나 미스터리물을 좋아해요.	I like short stories and mysteries.
우리 팀을 너희 팀 쪽으로 합치기를 원하니?	Do you want our team to be joined to your team?
그러나 수영하기엔 좋은 날씨였어요.	But it was good weather for swimming.
당신이 고등학교 때 제일 좋아했던 선생님은 누구였나요?	Who was your favorite teacher in high school?
그 부분을 가장 염려했기 때문입니다.	I was quite concerned about this part.
부평역 일호약국 앞 정류장에서 기다리면 됩니다.	You can wait in front of Ilho drugstore at Bupyeong station.
하지만 천천히 산책하듯 걷는 것을 더 권장해요.	However, I recommend walking as if you're taking a leisurely stroll instead.
그런데 이용 한도를 초과했다는 메시지도 못 받았습니다.	However, I didn't get a message that I exceeded the limit. 
컴퓨터로 인해 복잡한 계산을 손쉽게 할 수 있게 되었다.	You can easily do complicated calculations with computers.
그것은 단순히 흥미뿐만 아니라 깨달음과 감동을 줘요.	This gives you not only a base interest but also enlightenment and a touching feeling.
내 남편이 휴가이기 때문에 3월 말부터 수업을 시작하고 싶어요.	I'd like to start taking classes from the end of March, since my husband's leave is during that time too.
우리 집에 히터와 몇 가지 수리할 곳이 있어요.	Our house needs a number of things to be fixed, including the heater.
우리가 테스트해보니 차이가 있어요.	We tested it and there are some differences.
저는 제 경험에 대하여 당신에게 말하고 싶습니다.	I want to tell you about my experiences.
대학교 2학년에 올라와서 유통 관리사라는 직업을 알게 되었습니다.	I came to know there's a job named distribution manager during my sophomore years.
그래서인지 항상 걷던 등교길도 유난히 특별해 보였습니다.	So the street I always pass on the way to school seemed very special.
나는 내가 한쪽으로 치우친 눈과 귀를 가지고 있었다고 깨달았습니다.	I realized that I had one-sided eyes and ears.
저희 과는 호텔, 여행사, 면세점 등으로 취업을 할 수 있습니다.	Our major can find jobs at hotels, travel agencies and duty-free shops.
나는 남녀공학인 학교가 더 효율적이라고 생각해요.	In my opinion, a co-ed school is more efficient.
티비는 좋아하는 프로그램을 볼 수 있게 해줍니다.	Television allows us to watch our own favorite TV show.
무슨 일을 하든지 확실하지 않은 생각이 들었다.	I wasn't sure whatever I do.
밴쿠버에 유학 온 한국인 학생들이 주로 이용합니다.	Korean students, who came to Vancouver, mainly use it.
당신의 소중한 생명을 지키기 위하여,	To protect your valuable life,
나는 여러 회사에서 온 업계 관계자 들과 대화를 나눴어요.	I've talked with many people from various companies in this industry.
나는 잔디 위에서 잠을 잘 거예요.	I am going to sleep on grass.
차가 안 막히면 1시간에서 1시간 반 정도 소요돼요.	If there's no traffic, it takes about an hour to an hour and a half getting here.
책상 위에 초콜릿이 19개 있어요.	There are 19 pieces of chocolate on the desk.
영어로 Tanuki를 뭐라고 합니까?	"How do you say ""Tanuki"" in English?"
포장은 팔레트 3개로 부탁드려요.	Please pack with three pallets.
제가 일부러 그런 것은 아니었습니다.	I didn't mean it.
 거주할 곳을 결정할 거예요.	And I will decide where to live.
나는 매일 추운 데서 골프를 쳐요.	Every day I play golf in a cold place.
이 디자인은 화분과 삼각형을 조화시킨 디자인이에요.	In this design, we tried harmonizing flowerpots with triangles. 
많이들 방문해서 같이 감상하시고 행복했으면 좋겠습니다.	My oldest daughter will become a sophomore in high school and she likes books.
그래서 중량 면에서는 3점을 받았습니다.	So it got 3 points in terms of weight.
당신과 공부할 수 있어서 기뻐요.	I'm glad to study with you.
당신의 한 해가 기쁨과 행복이 넘치길 바랍니다.	May your year be full of joy and happiness.
나는 각종 채소를 키우며 살고 싶어.	I want to live growing various kinds of vegetables.
당신 말대로 포트는 더반을 이용할게요.	I will use #Durban# for the port.
교통 지리학 프린트에 영어가 너무 많아서 화가 나.	There is just too much English on the print-outs for Transportation Geography studies that it makes me mad.
저는 전역 후에 휴식을 가지면서 미래에 대해 생각했어요.	After getting discharged from the military, I'd like to take some time off to ponder my future.
당신네 나라에도 이런 문제가 있나요?	Does your country have this kind of problem too?
음, 아마도 그들 가운데 일부는요.	Maybe some of them.
여기 영어 할 줄 아는 사람 있나요?	Is there anyone who speaks English?
약 30도이고 때로는 그 이상이에요.	About 30 degrees, sometimes higher.
많은 정치 활동을 하였기 때문이에요.	This is because of a lot of political activities.
친구가 쓴 편지가 나에게 도착했어요.	The letter my friend wrote has just arrived for me.
남들도 열심히 공부하니 나도 열심히 하지 않으면 뒤떨어지겠는걸.	Since the others are all studying hard, I'd better try my hardest too unless I want to fall behind.
그녀는 학급 회장에 출마하기를 원했어요.	She wanted to join the race for the school presidency.
나는 지구화학과 관련된 일을 하였으며 많은 것을 경험했어요.	I did work related to geochemistry and experienced many things.
시험을 접수했는데 통장에서 출금이 안 됐네요.	I applied for the test but the transaction has not been completed.
성공하지 못한다면 후회할 거예요.	If you don't succeed, you will regret.
혼자 가도 할 수 있다고 알고 있어요.	I know that I can go by myself.
그러나 이러한 장점들에도 불구하고 단점은 무엇이 있을까요?	Despite these advantages, what are the disadvantages?
저한테 찾아봐달라고 하지 그랬어요.	You should have asked me to find it.
평소에 꾸준하게 하는 편은 아니에요.	I'm not doing it regularly.
그래서 이 취미를 추천해 주고 싶어요.	That's why I'd like to recommend this hobby.
그냥 우리 하던 대로 화요일과 목요일 날 만나요?	Are we meeting on Tuesdays and Wednesdays as usual?
그녀에게 전화가 오면 나는 무엇을 말하면 되니?	If she calls what should I say to her?
중공업에서 후속 파이프 작업 진행이 안되고 있습니다.	The heavy industry's follow-up pipe work is not on schedule.
미국 지하철이 아직 익숙지 않아서요.	I'm not used to the American subway system.
설교단을 화려하게 만들거나 높은 곳에 두었습니다.	They made a pulpit splendid or placed it somewhere high.
열심히 공부해서 저한테 시집오세요.	Study hard and marry me.
갈 때 불편한 우주복을 입어야 해요.	I need to put the uncomfortable spacesuit on me when I leave.
이 마음이 사랑인지 아닌지 모르겠어요.	I am not sure if this emotion is love or not.
네가 나쁜 행동을 하면 너의 부모님 이미지가 안 좋아져.	Your parent's reputation will be damaged if you misbehave.
브라켓의 금형을 제작하는 데는 비용이 많이 듭니다.	It costs a lot making a metallic mold for a bracket.
너의 친구한테서 사진 가져오면 안 돼.	You should not take a picture of your friend.
미안하지만 현재로는 너를 도울 방법이 없어.	I'm sorry but currently, there is no way to help you.
그리고 나는 초등학생 때는 멀리뛰기로 금메달을 딴 적이 있어.	When I was an elementary school student, I've won a gold medal from the long jump.
나는 치즈 케이크를 조금 좋아해요.	I like the cheesecake only a little.
누가 진행해야 하는지 알려주세요.	Tell me who will be running it.
나는 해외 출장이 있는 직업이 좋아.	I like the job which needs abroad business trip.
주조는 복잡한 형상을 만들 수 있어요.	A cast can make a complicated shape.
너의 에이전트에서 회선을 혼동했어요.	Your agency was confused with the lines.
좌석이 어디쯤이었는지 기억은 하세요?	Do you remember where your seat was?
유치원에 대해서 알고 싶어서 왔어요.	I came here to know about kindergarten.
저는 술 취하면 모든 게 오케이에요.	When I'm drunk, I become a yes-man.
내가 봉사 활동을 갔을 때 나는 새로운 친구 들을 많이 만났어.	While you were at a volunteer activity, I met many new friends.
이 버스는 축제 기간에만 운행해요.	This bus only runs during the festival.
도착한 상품은 36m, 6m입니다.	The dimension of the delivered product is 36m and 6m.
당신은 이 화분에 일주일에 한 번 물을 주어야 해요.	You have to water the plant once a week.
이번 겨울방학에 나는 친구들과 에버랜드에 갔습니다.	This winter vacation I went to Everland with my friends.
두 가지 사항을 체크하시기 바라요.	You have to check two things.
오늘 좋은 추억 만들어 줘서 고마워.	Thank you for making great memories today.
나는 특수 학교들에서 많은 봉사 활동을 했어	I have volunteered for many services at a special school.
이 슬립을 출납원에게 가지고 가세요.	Take this slip to the cashier.
저기서 구두와 구두 용품을 판매해요.	They sell shoes and shoe kits.
저희가 조립할 때도 가끔 발생해요.	It sometimes occurs while we are assembling as well.
이 립스틱은 너의 얼굴을 더 환하게 만들어 줄꺼야.	Now this lipstick will bring about a glow about your face.
나의 꿈은 환자를 잘 치료해 주는 물리 치료사가 되는 것입니다.	My dream is to be a physical therapist who treats patients very well.
위험을 걱정하기만 하면 즐길 수 있는 건 없어!	If you only worry about the dangers, you'll never enjoy anything!
너에게 송금하기 위해 필요한 사항 들을 빨리 나에게 보내라.	You should send me the requirements to transfer money as soon as possible.
당신이 언급한 오더가 B가 언급한 오더와 같은 오더입니까?	Is the order you said is the same one with the order B had mentioned?
내가 당신을 화나게 하는 것 같아서요.	I think I am making you angry.
사람들은 그가 은혜를 모른다고 하죠.	It's said he's unthankful.
여기까지가 우리가 준비한 내용이에요.	This is what we prepared.
우리가 작성하는 미팅 계획에 도움이 되겠습니다.	It will be helpful for our meeting planning.
게임이 공부하는 데 좋은 효과를 줘요.	Playing games has a positive impact on studying.
스타일은 좋은데 다른 색으로 있어요?	I like the style, but do you have one in a different color?
형의 집은 토론토 영 스트릿에 있어요.	My brother’s house is on Young Street, Toronto.
요즘 나는 회계 감사를 하고 있어요.	I'm doing a financial audit these days.
그는 상상할 수 없을 만큼 작았어요.	He was very tiny beyond my imagination.
가을에는 단풍이 제일 먼저 생각나요.	Fall foliage is the first thing come to my mind in autumn.
이 자리에 함께 해주셔서 고마워요.	Thank you for being with us.
활착 프로그램을 통한 통합 관리가 가능합니다.	You can use an integrated management system through a rootage program.
이 모든 것에 서로부터 당신도 자유로울 수는 없습니다.	Even you can't be free from all this.
저의 가장 행복한 기억은 필리핀 어학연수 때입니다.	My happiest memory is while studying abroad in the Philippines.
먼저 우리 회사의 제품을 리뷰하신 후 상세한 사항을 협의하죠.	Lets discuss the finer details after you review our company's product.
그 소녀는 나를 보더니 미소지었어요.	She looked at me and smiled.
나는 통화하는 거 별로 안 좋아해.	I don't like to have a conversation on the phone.
후식으로 버펄로 우유 커피를 먹었어요.	As a dessert, we drank milk from buffalos.
친구가 사용하지 않는 물건을 얻었어요.	I've got some things that my friend doesn't use.
환절기에 매치하기 좋은 아이템입니다.	It is a good item to match in-between seasons.
이 카드는 한국어가 서투른 분을 위한 카드입니다.	This card is for anyone who can't speak Korean well.
늑대는 왜 할머니의 집으로 달려갔나요?	Why did the wolf rush into the grandmother's house?
저도 사전 찾으면서 대화하고 있어요.	I'm talking while looking up the dictionary.
당신이 가능한 비용과 생각하는 구체적인 지급 방법을 제시해주세요.	Please suggest the acceptable price and the specific way of payment.
나는 여행을 통해 많은 활동을 체험하고 다양한 배움을 얻었어요.	I learnt many lessons and garned a lot of experiences through this trip.
인터넷은 사회 모든 부문에 꼭 필요한 도구가 되었다.	The internet has become an irreplaceable tool in all facets of society.
너와 함께 차 마실 날을 기다릴게.	I will look forward to the day we can have some tea together.
이 시간 이후에 일정이 어떻게 되나요?	What is the plan after this time?
올해는 행복한 일만 가득하길 바랄게.	I hope this year will be full of happiness for you.
해당 이메일을 당신에게 발송합니다.	I am sending the mail to you.
기초 화장 후 적당량을 덜어 얼굴에 얇게 펴 발라줍니다.	After applying your basic makeup, dole a moderate amount of this and spread it thinly across your face.
그래서 고등학교 1학년 때까지 영어를 하지 않았습니다.	That is why I haven't studied English until I became 1st grade in high school.
내 동생은 항상 나와 같이 학교에 가길 원합니다.	My brother always wants to go to school with me.
여섯 개의 학급이 우리 학교에 있어요.	There're 6 classes in our school.
나에게 첨부한 제품의 가격을 보내줘.	Please send me the price of the item that you've attached.
이번 수학여행에서 친구들과 좋은 추억이 많이 생겼어.	A lot of good memories with my friends were made through this trip.
수요일 오후쯤 사무실로 찾아뵐게요.	I'd like to see you in your office sometime Wednesday afternoon.
혹시나 서운해 하시거나 마음 상하셨을까 봐 염려가 되네요.	The story was similar to Harry Potter but the main character's personality was totally different.
가운과 슬리퍼도 많이 준비해 주세요.	Please prepare for lots of robes and slippers.
너는 아직 처음 감정 그대로인가요?	Do you still have the feeling that you had for the first time?
갤러리아 백화점 주변이 번화가에요.	The place around #the Galleria Department store# is a busy street.
이러한 비용들을 줄이기 위한 정책이 도입되어야 해요.	Policies that reduce these costs should be implemented.
저희도 여전히 수진이와 연락이 되지 않고 있어요.	We also still can't get in touch with Sujin.
저는 누가 가르쳐 준 사람이 없어요.	Nobody has taught me that.
기존에 요청한 수량과 차이가 나는 이유를 알고 싶습니다.	I would like to know why it is different from the quantity we requested before. 
외국인과 대화하는 게 재밌어 보이네요.	It looks fun to talk with foreigners.
우리는 지구 온난화를 막아야 합니다.	We should stop global warming.
차를 타고 비행기에서 떨어지는 장면은 정말 환상적이었어요.	The scene where he drops riding his car from the plane was fantastic.
그것은 1986년쯤에 발생했습니다.	It happened around 1986.
저는 중국 양배추를 좋아하지 않아요.	I don't like Chinese cabbage.
언제나 친절하게 시민들을 대해야 하는 것은 아니야.	It's not that you have to treat citizens nicely all the time.
내년에 싱가포르에 다시 갈 생각이야.	I am thinking about going to Singapore again next year.
페이스북 친구 신청해도 될까요?	Can I friend you on Facebook?
인천발 비행기의 도착이 늦어서 환승 비행기를 놓쳤습니다.	I missed the transfer flight because of a flight delay from Incheon.
몇 월 며칠에 태어났다고 하셨죠?	When was your birthday?
빨간색으로 표시를 했으니 참고하세요.	We have marked in red for your information.
진주는 조용하고 아름다운 도시이에요.	Jinju is a quiet and beautiful city.
미국에 취업해서 일한다는 것은 쉬운일이 아닙니다.	Getting a job and working in America isn't easy.
그들은 천국에 가지 못한 사람들이에요.	They are those who couldn't go to heaven.
저는 당신 회사에서 요구한 정보요청 메일을 받지 못했어요.	I haven't receive the email your company sent regarding the inquired information.
스마트폰에서 동영상을 자주 보시나요?	Do you often watch videos on your smartphone?
823 티 타임으로 예약을 했습니다.	I made a reservation for 823 tea time.
당신이 말한 것에 동의할 수 없어요.	I can't go along with what you said.
그는 가능한 한 빨리 그것을 끝냈어요.	He finished it as quickly as possible.
후각으로 인한 기억이 가장 오래 남는다는 것을 아세요?	Do you know that our sense of smell is our strongest sense of memory?
당신은 분명히 좋은 애인 만날 수 있을 거예요.	You'll find someone just right for you.
왜냐하면 꽃이 많이 있기 때문이에요.	It is because there are many flowers.
그는 우리의 중요한 고객이므로 최고의 서비스를 부탁드립니다.	He is an important customer, so I sincerely ask you to give him the best service.
행사에 필요한 코멘트를 부탁드려요.	I need a comment for the event.
면역력이 많이 떨어졌기 때문이에요.	Because the immune system has weakened.
더욱더 열심히 하면 좋은 결과가 있어.	If you try harder, there must be good results.
하루하루가 행복하고 운이 좋은 날이에요.	Every day is a happy and lucky day.
